size temperature m m^2 m^4 mag_sus
16 0.02 1 1 1 0 
16 0.02 1 1 1 0 
16 0.02 1 1 1 0 
16 0.02 1 1 1 0 
16 0.02 1 1 1 0 
16 0.04 1 1 1 0 
16 0.04 1 1 1 0 
16 0.04 1 1 1 0 
16 0.04 1 1 1 0 
16 0.04 1 1 1 0 
16 0.06 1 1 1 0 
16 0.06 1 1 1 0 
16 0.06 1 1 1 0 
16 0.06 1 1 1 0 
16 0.06 1 1 1 0 
16 0.08 1 1 1 0 
16 0.08 1 1 1 0 
16 0.08 1 1 1 0 
16 0.08 1 1 1 0 
16 0.08 1 1 1 0 
16 0.1 1 1 1 0 
16 0.1 1 1 1 0 
16 0.1 1 1 1 0 
16 0.1 1 1 1 0 
16 0.1 1 1 1 0 
16 0.12 1 1 1 0 
16 0.12 1 1 1 0 
16 0.12 1 1 1 0 
16 0.12 1 1 1 0 
16 0.12 1 1 1 0 
16 0.14 1 1 1 0 
16 0.14 1 1 1 0 
16 0.14 1 1 1 0 
16 0.14 1 1 1 0 
16 0.14 1 1 1 0 
16 0.16 1 1 1 0 
16 0.16 1 1 1 0 
16 0.16 1 1 1 0 
16 0.16 1 1 1 0 
16 0.16 1 1 1 0 
16 0.18 1 1 1 0 
16 0.18 1 1 1 0 
16 0.18 1 1 1 0 
16 0.18 1 1 1 0 
16 0.18 1 1 1 0 
16 0.2 1 1 1 0 
16 0.2 1 1 1 0 
16 0.2 1 1 1 0 
16 0.2 1 1 1 0 
16 0.2 1 1 1 0 
16 0.22 1 1 1 0 
16 0.22 1 1 1 0 
16 0.22 1 1 1 0 
16 0.22 1 1 1 0 
16 0.22 1 1 1 0 
16 0.24 1 1 1 0 
16 0.24 1 1 1 0 
16 0.24 1 1 1 0 
16 0.24 1 1 1 0 
16 0.24 1 1 1 0 
16 0.26 1 1 1 0 
16 0.26 1 1 1 0 
16 0.26 1 1 1 0 
16 0.26 1 1 1 0 
16 0.26 1 1 1 0 
16 0.28 1 1 1 0 
16 0.28 1 1 1 0 
16 0.28 1 1 1 0 
16 0.28 1 1 1 0 
16 0.28 1 1 1 0 
16 0.3 1 1 1 0 
16 0.3 1 1 1 0 
16 0.3 1 1 1 0 
16 0.3 1 1 1 0 
16 0.3 1 1 1 0 
16 0.32 1 1 1 0 
16 0.32 1 1 1 0 
16 0.32 1 1 1 0 
16 0.32 1 1 1 0 
16 0.32 1 1 1 0 
16 0.34 1 1 1 0 
16 0.34 1 1 1 0 
16 0.34 1 1 1 0 
16 0.34 1 1 1 0 
16 0.34 1 1 1 0 
16 0.36 1 1 1 0 
16 0.36 1 1 1 0 
16 0.36 1 1 1 0 
16 0.36 1 1 1 0 
16 0.36 1 1 1 0 
16 0.38 1 1 1 0 
16 0.38 1 1 1 0 
16 0.38 1 1 1 0 
16 0.38 1 1 1 0 
16 0.38 1 1 1 0 
16 0.4 1 1 1 0 
16 0.4 1 1 1 0 
16 0.4 1 1 1 0 
16 0.4 1 1 1 0 
16 0.4 1 1 1 0 
16 0.42 1 1 1 0 
16 0.42 1 1 1 0 
16 0.42 1 1 1 0 
16 0.42 1 1 1 0 
16 0.42 1 1 1 0 
16 0.44 1 1 1 0 
16 0.44 1 1 1 0 
16 0.44 1 1 1 0 
16 0.44 1 1 1 0 
16 0.44 1 1 1 0 
16 0.46 1 1 1 0 
16 0.46 1 1 1 0 
16 0.46 1 1 1 0 
16 0.46 1 1 1 0 
16 0.46 1 1 1 0 
16 0.48 1 1 1 0 
16 0.48 1 1 1 0 
16 0.48 0.999999 0.999998 0.999997 3.25488e-06 
16 0.48 1 1 1 0 
16 0.48 0.999999 0.999998 0.999997 3.25488e-06 
16 0.5 1 1 1 0 
16 0.5 1 1 1 0 
16 0.5 1 1 1 0 
16 0.5 1 1 1 0 
16 0.5 1 1 1 0 
16 0.52 1 1 1 0 
16 0.52 0.999999 0.999998 0.999997 3.00451e-06 
16 0.52 1 1 1 0 
16 0.52 0.999999 0.999998 0.999997 3.00451e-06 
16 0.52 1 1 1 0 
16 0.54 0.999999 0.999998 0.999997 2.89323e-06 
16 0.54 0.999999 0.999998 0.999997 2.89323e-06 
16 0.54 1 1 1 0 
16 0.54 0.999999 0.999998 0.999997 2.89323e-06 
16 0.54 1 1 1 0 
16 0.56 0.999998 0.999997 0.999994 5.57924e-06 
16 0.56 0.999999 0.999998 0.999997 2.7899e-06 
16 0.56 1 1 1 0 
16 0.56 0.999997 0.999994 0.999988 1.11562e-05 
16 0.56 0.999997 0.999994 0.999988 1.11562e-05 
16 0.58 0.999999 0.999998 0.999997 2.6937e-06 
16 0.58 0.999998 0.999997 0.999994 5.38685e-06 
16 0.58 0.999997 0.999994 0.999988 1.07716e-05 
16 0.58 0.999998 0.999995 0.999991 8.07947e-06 
16 0.58 0.999998 0.999997 0.999994 5.38685e-06 
