size temperature m m2 m4 mag_sus 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.02 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.04 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.06 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.08 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.1 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.12 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.14 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.16 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.18 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.2 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.22 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.24 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.26 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.28 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.3 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.32 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.34 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.36 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.38 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 1 0 
32 0.4 1 1 1 0 
32 0.42 1 1 1 0 
32 0.42 1 1 1 0 
32 0.42 1 1 1 0 
32 0.42 1 1 1 0 
32 0.42 1 1 1 0 
32 0.44 1 1 1 0 
32 0.44 1 1 0.999999 8.87695e-07 
32 0.44 1 1 1 0 
32 0.44 1 1 1 0 
32 0.44 1 1 1 0 
32 0.46 1 1 1 0 
32 0.46 1 1 1 0 
32 0.46 1 1 1 0 
32 0.46 1 1 1 0 
32 0.46 1 1 0.999999 8.491e-07 
32 0.48 1 1 0.999999 8.1372e-07 
32 0.48 1 1 1 0 
32 0.48 1 0.999999 0.999998 1.62728e-06 
32 0.48 1 1 1 0 
32 0.48 1 1 1 0 
32 0.5 1 1 1 0 
32 0.5 1 1 0.999999 7.81172e-07 
32 0.5 0.999999 0.999999 0.999998 2.34305e-06 
32 0.5 1 1 0.999999 7.81172e-07 
32 0.5 1 1 1 0 
32 0.52 1 0.999999 0.999998 1.5021e-06 
32 0.52 0.999999 0.999998 0.999997 3.00361e-06 
32 0.52 0.999999 0.999998 0.999995 4.50451e-06 
32 0.52 1 0.999999 0.999998 1.5021e-06 
32 0.52 1 1 1 0 
32 0.54 0.999999 0.999998 0.999997 2.89236e-06 
32 0.54 0.999999 0.999999 0.999998 2.16949e-06 
32 0.54 1 1 0.999999 7.23307e-07 
32 0.54 0.999999 0.999998 0.999996 3.61509e-06 
32 0.54 0.999999 0.999999 0.999998 2.16949e-06 
32 0.56 1 1 0.999999 6.97475e-07 
32 0.56 0.999999 0.999998 0.999997 2.78906e-06 
32 0.56 0.999999 0.999998 0.999997 2.78906e-06 
32 0.56 0.999999 0.999998 0.999997 2.78906e-06 
32 0.56 0.999998 0.999997 0.999994 5.57589e-06 
32 0.58 0.999998 0.999996 0.999993 6.05597e-06 
32 0.58 0.999999 0.999997 0.999995 4.71114e-06 
32 0.58 0.999998 0.999995 0.999991 8.0722e-06 
32 0.58 0.999998 0.999996 0.999991 7.40026e-06 
32 0.58 0.999998 0.999996 0.999991 7.40026e-06 
32 0.6 0.999998 0.999996 0.999992 6.50391e-06 
32 0.6 0.999996 0.999993 0.999986 1.16977e-05 
32 0.6 0.999997 0.999995 0.99999 8.45254e-06 
32 0.6 0.999995 0.999989 0.999979 1.75307e-05 
32 0.6 0.999998 0.999995 0.999991 7.80312e-06 
32 0.62 0.999996 0.999991 0.999982 1.57177e-05 
32 0.62 0.999996 0.999991 0.999983 1.38304e-05 
32 0.62 0.999996 0.999991 0.999982 1.44576e-05 
32 0.62 0.999995 0.999989 0.999979 1.69652e-05 
32 0.62 0.999995 0.99999 0.99998 1.63385e-05 
32 0.64 0.999993 0.999985 0.99997 2.31052e-05 
32 0.64 0.999995 0.999989 0.999979 1.6435e-05 
32 0.64 0.999993 0.999986 0.999973 2.12875e-05 
32 0.64 0.999992 0.999984 0.999967 2.55271e-05 
32 0.64 0.99999 0.99998 0.999961 3.15857e-05 
32 0.66 0.999989 0.999979 0.999957 3.2373e-05 
32 0.66 0.999987 0.999973 0.999947 3.99725e-05 
32 0.66 0.999991 0.999982 0.999963 2.76865e-05 
32 0.66 0.99999 0.99998 0.99996 3.00307e-05 
32 0.66 0.999986 0.999972 0.999943 4.28901e-05 
32 0.68 0.999983 0.999966 0.999933 4.89777e-05 
32 0.68 0.999983 0.999967 0.999934 4.9562e-05 
32 0.68 0.999987 0.999974 0.999948 3.82302e-05 
32 0.68 0.999985 0.99997 0.99994 4.50408e-05 
32 0.68 0.999983 0.999965 0.999931 5.29687e-05 
32 0.7 0.99998 0.999961 0.999921 5.69084e-05 
32 0.7 0.999975 0.999951 0.999902 7.16587e-05 
32 0.7 0.99998 0.99996 0.999921 5.85712e-05 
32 0.7 0.999977 0.999955 0.99991 6.62134e-05 
32 0.7 0.999973 0.999946 0.999893 7.81783e-05 
32 0.72 0.999973 0.999947 0.999893 7.65642e-05 
32 0.72 0.999973 0.999946 0.999892 7.76193e-05 
32 0.72 0.999964 0.999929 0.999858 9.80293e-05 
32 0.72 0.999974 0.999948 0.999896 7.33676e-05 
32 0.72 0.999966 0.999933 0.999866 9.60512e-05 
32 0.74 0.999962 0.999925 0.99985 0.00010308 
32 0.74 0.99996 0.99992 0.99984 0.000114947 
32 0.74 0.999956 0.999912 0.999824 0.000118714 
32 0.74 0.999964 0.999929 0.999857 9.79999e-05 
32 0.74 0.999957 0.999914 0.999829 0.000116744 
32 0.76 0.999946 0.999892 0.999784 0.000145625 
32 0.76 0.999942 0.999885 0.99977 0.000157431 
32 0.76 0.99995 0.999899 0.999799 0.000130214 
32 0.76 0.999948 0.999896 0.999792 0.000139736 
32 0.76 0.999953 0.999906 0.999813 0.000124507 
32 0.78 0.999933 0.999867 0.999734 0.000174966 
32 0.78 0.999927 0.999854 0.999708 0.000191776 
32 0.78 0.999924 0.999849 0.999699 0.000193321 
32 0.78 0.999935 0.99987 0.99974 0.000167691 
32 0.78 0.999925 0.999851 0.999702 0.000193013 
32 0.8 0.999911 0.999823 0.999646 0.000228217 
32 0.8 0.99991 0.99982 0.99964 0.000235672 
32 0.8 0.99991 0.999821 0.999643 0.000227506 
32 0.8 0.9999 0.9998 0.9996 0.000252287 
32 0.8 0.999907 0.999813 0.999628 0.000235914 
32 0.82 0.999889 0.999779 0.999558 0.000270985 
32 0.82 0.999883 0.999766 0.999533 0.00029154 
32 0.82 0.999886 0.999773 0.999547 0.000288742 
32 0.82 0.999882 0.999764 0.999528 0.000290242 
32 0.82 0.999879 0.999759 0.999519 0.000300975 
32 0.84 0.999845 0.99969 0.999381 0.00038216 
32 0.84 0.999843 0.999685 0.999372 0.000385527 
32 0.84 0.999842 0.999685 0.999372 0.000396147 
32 0.84 0.999841 0.999682 0.999365 0.000400583 
32 0.84 0.999844 0.999689 0.999379 0.000380152 
32 0.86 0.999812 0.999624 0.999249 0.00045561 
32 0.86 0.999813 0.999627 0.999256 0.000450489 
32 0.86 0.999798 0.999597 0.999196 0.000492501 
32 0.86 0.999805 0.99961 0.999222 0.000480196 
32 0.86 0.999807 0.999614 0.999231 0.000468017 
32 0.88 0.999764 0.999528 0.999058 0.000559122 
32 0.88 0.999765 0.99953 0.999062 0.000570755 
32 0.88 0.99976 0.999521 0.999045 0.000564829 
32 0.88 0.999759 0.999519 0.999041 0.000564727 
32 0.88 0.999761 0.999522 0.999047 0.000563824 
32 0.9 0.999709 0.999419 0.998841 0.00069674 
32 0.9 0.999716 0.999433 0.998868 0.000639144 
32 0.9 0.999705 0.99941 0.998823 0.000676817 
32 0.9 0.999713 0.999426 0.998855 0.000663462 
32 0.9 0.999707 0.999414 0.998831 0.000684201 
32 0.92 0.999643 0.999286 0.998576 0.000815419 
32 0.92 0.999643 0.999286 0.998575 0.000816538 
32 0.92 0.999663 0.999327 0.998657 0.000779313 
32 0.92 0.999644 0.999288 0.998579 0.000820286 
32 0.92 0.999661 0.999322 0.998647 0.000771882 
32 0.94 0.999575 0.999152 0.998308 0.000958017 
32 0.94 0.99956 0.99912 0.998245 0.00102664 
32 0.94 0.999577 0.999155 0.998314 0.000987122 
32 0.94 0.999554 0.99911 0.998224 0.00101864 
32 0.94 0.999579 0.99916 0.998324 0.000958053 
32 0.96 0.999506 0.999013 0.99803 0.00110368 
32 0.96 0.999478 0.998956 0.997918 0.00113421 
32 0.96 0.99947 0.998941 0.997888 0.0011578 
32 0.96 0.999475 0.998951 0.997907 0.0011336 
32 0.96 0.999491 0.998983 0.997971 0.00113906 
32 0.98 0.999393 0.998787 0.997581 0.00131553 
32 0.98 0.999384 0.99877 0.997546 0.00137724 
32 0.98 0.999389 0.998779 0.997565 0.00133941 
32 0.98 0.999373 0.998747 0.997502 0.00138152 
32 0.98 0.999391 0.998784 0.997575 0.00138609 
32 1 0.999281 0.998565 0.997138 0.00155918 
32 1 0.999263 0.998528 0.997065 0.00161541 
32 1 0.999307 0.998617 0.997242 0.00154085 
32 1 0.999268 0.998538 0.997085 0.00159258 
32 1 0.999285 0.998572 0.997151 0.00155038 
32 1.02 0.99913 0.998262 0.996535 0.00188818 
32 1.02 0.999158 0.998318 0.996647 0.00176644 
32 1.02 0.999158 0.998319 0.996648 0.00176715 
32 1.02 0.999143 0.998288 0.996587 0.00180551 
32 1.02 0.999146 0.998295 0.9966 0.0018193 
32 1.04 0.998997 0.997998 0.996009 0.00209519 
32 1.04 0.998995 0.997993 0.995998 0.00209731 
32 1.04 0.99902 0.998043 0.996098 0.00202823 
32 1.04 0.998995 0.997993 0.996 0.00215967 
32 1.04 0.998985 0.997972 0.995957 0.00213718 
32 1.06 0.998827 0.997657 0.99533 0.00246182 
32 1.06 0.998831 0.997665 0.995346 0.00241177 
32 1.06 0.998831 0.997665 0.995346 0.0024302 
32 1.06 0.998841 0.997687 0.995389 0.00245399 
32 1.06 0.998822 0.997648 0.995311 0.00245191 
32 1.08 0.998677 0.997359 0.994737 0.00278863 
32 1.08 0.998662 0.997328 0.994675 0.00281852 
32 1.08 0.998666 0.997337 0.994693 0.00283026 
32 1.08 0.998648 0.9973 0.994619 0.00279724 
32 1.08 0.998631 0.997267 0.994553 0.00283579 
32 1.1 0.998473 0.996952 0.993927 0.00319334 
32 1.1 0.998446 0.996898 0.993819 0.00318331 
32 1.1 0.998426 0.996858 0.993739 0.00318617 
32 1.1 0.99843 0.996867 0.993757 0.00324157 
32 1.1 0.998444 0.996894 0.993811 0.00315493 
32 1.12 0.998225 0.996457 0.992943 0.00355875 
32 1.12 0.998198 0.996403 0.992836 0.00379468 
32 1.12 0.998197 0.996402 0.992832 0.00362608 
32 1.12 0.998222 0.996452 0.992932 0.00358405 
32 1.12 0.998223 0.996453 0.992934 0.00362996 
32 1.14 0.997946 0.995901 0.991837 0.00415686 
32 1.14 0.997954 0.995916 0.991867 0.00417666 
32 1.14 0.997938 0.995885 0.991805 0.00413513 
32 1.14 0.997882 0.995773 0.991582 0.00417338 
32 1.14 0.997964 0.995936 0.991908 0.00412039 
32 1.16 0.997695 0.995401 0.990843 0.00460959 
32 1.16 0.997643 0.995297 0.990637 0.0045938 
32 1.16 0.997683 0.995377 0.990796 0.00464774 
32 1.16 0.997668 0.995346 0.990735 0.00470193 
32 1.16 0.997684 0.995379 0.990801 0.00471988 
32 1.18 0.997376 0.994765 0.989582 0.00532732 
32 1.18 0.997376 0.994764 0.989581 0.0054329 
32 1.18 0.997386 0.994785 0.989622 0.00518148 
32 1.18 0.997391 0.994794 0.98964 0.00523925 
32 1.18 0.997368 0.994748 0.989548 0.00527289 
32 1.2 0.996993 0.994003 0.988068 0.00583609 
32 1.2 0.997037 0.99409 0.988242 0.00581612 
32 1.2 0.996979 0.993974 0.988013 0.00598899 
32 1.2 0.997008 0.994031 0.988126 0.00595693 
32 1.2 0.99701 0.994036 0.988137 0.00621499 
32 1.22 0.99663 0.993279 0.986633 0.00657692 
